ID,Type,SKU,Name,Published,Is featured?,Short description,Description,Tax status,In stock?,Stock,Categories,Tags,Sale price,Regular price,Images,Collection,Badge,Fabric Composition,Care Instructions
1,simple,BR-TH-001,Thorn Hoodie,1,1,"Gothic luxury in fleece form","Embrace the darkness with our signature Thorn Hoodie. Crafted from premium heavyweight fleece with crimson rose embroidery across the chest. Features an oversized fit, distressed details, and ribbed cuffs. This is comfort that doesn't compromise on edge.",taxable,1,50,"Tops,Hoodies",black-rose gothic hoodie streetwear,,95,,"black-rose,signature",NEW,"80% Cotton, 20% Polyester","Machine wash cold, tumble dry low"
2,simple,BR-SH-001,Black Rose Sherpa,1,1,"Crimson embroidery on black fleece","Luxury meets warmth in this statement sherpa jacket. Black fleece exterior with crimson rose embroidery, lined with ultra-soft sherpa. Oversized fit with snap closures and deep pockets. A piece that turns heads while keeping you cozy.",taxable,1,30,Outerwear,black-rose sherpa jacket luxury,,185,,"black-rose",LIMITED,"100% Polyester fleece with sherpa lining","Dry clean only"
3,simple,BR-DR-001,Gothic Dress,1,0,"Dark elegance, modern silhouette","Floor-length gothic elegance reimagined for the streets. Features a fitted bodice, flowing skirt, and signature rose detailing. Crafted from premium stretch fabric that moves with you. Dress it up or down—this piece adapts to your energy.",taxable,1,40,Dresses,black-rose dress gothic formal,,145,,"black-rose",,"95% Polyester, 5% Spandex","Hand wash cold, hang dry"
4,simple,BR-TS-001,Distressed Tee,1,0,"Worn-in rebellion","Vintage-washed tee with our iconic black rose graphic. Pre-distressed for that lived-in feel from day one. Soft, breathable cotton that gets better with every wash. A staple for layering or solo statements.",taxable,1,100,Tops,black-rose tee vintage basic,,55,,"black-rose",,"100% Cotton","Machine wash cold, tumble dry low"
5,simple,BR-BN-001,Crimson Beanie,1,0,"Rose embroidered warmth","Keep warm in style with this ribbed knit beanie featuring embroidered crimson rose. Premium acrylic blend that's soft, stretchy, and built to last through winters. The perfect finishing touch to any outfit.",taxable,1,75,Accessories,black-rose beanie winter accessory,,35,,"black-rose",,"100% Acrylic","Hand wash cold, lay flat to dry"
6,simple,BR-JG-001,Shadow Joggers,1,0,"Premium black comfort","Elevated loungewear meets street style. Tapered fit joggers in premium black cotton blend with subtle rose embroidery at the thigh. Elastic waistband with drawstring, deep pockets, and ribbed cuffs. Comfort you can wear anywhere.",taxable,1,60,Bottoms,black-rose joggers streetwear comfort,,75,,"black-rose",,"80% Cotton, 20% Polyester","Machine wash cold, tumble dry low"
7,simple,BR-JK-001,Leather Jacket,1,1,"Edge meets craftsmanship","Premium vegan leather jacket with crimson rose embroidery on the back. Classic moto styling with modern cuts. Features quilted panels, asymmetric zip, and gunmetal hardware. A forever piece that only gets better with age.",taxable,1,25,Outerwear,black-rose leather jacket luxury moto,,325,,"black-rose",EXCLUSIVE,"100% Vegan Leather","Spot clean only, professional leather care recommended"
8,simple,BR-CP-001,Rose Cap,1,0,"Embroidered statement piece","Six-panel unstructured cap with embroidered rose detail. Adjustable strap back for perfect fit. Premium cotton twill that breaks in beautifully. Your new everyday essential.",taxable,1,80,Accessories,black-rose cap hat accessory,,40,,"black-rose",,"100% Cotton Twill","Spot clean only"
9,simple,BR-BT-001,Combat Boots,1,0,"Gothic street armor","Lace-up combat boots with platform sole and signature rose hardware. Premium vegan leather upper with cushioned insole. These aren't just boots—they're a statement. Built for comfort, designed for impact.",taxable,1,40,Footwear,black-rose boots shoes gothic,,185,,"black-rose",,"Vegan leather upper, rubber sole","Wipe clean with damp cloth"
10,simple,BR-JN-001,Ripped Jeans,1,0,"Distressed perfection","High-waisted black denim with strategic rips and rose embroidery patches. Stretch fabric for comfort, rigid structure for shape. These jeans have lived a thousand lives before you even put them on.",taxable,1,55,Bottoms,black-rose jeans denim streetwear,,110,,"black-rose",,"98% Cotton, 2% Spandex","Machine wash cold inside out, tumble dry low"
