ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible
,simple,SR-BR-001,BLACK Rose Crewneck,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-002,BLACK Rose Joggers,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-003,BLACK is Beautiful Jersey,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-004,BLACK Rose Hoodie,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-005,BLACK Rose Hoodie — Signature Edition,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-006,BLACK Rose Sherpa Jacket,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-007,BLACK Rose x Love Hurts Basketball Shorts,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-008,BLACK is Beautiful Jersey Series: 1. SF inspired,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-009,BLACK is Beautiful Jersey Series: 2. LAST OAKLAND,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-010,BLACK is Beautiful Jersey Series: 3. THE BAY,0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-BR-011,BLACK is Beautiful Jersey Series: 4. THE ROSE (SHARKS EDITION),0,0,visible,,,,BLACK ROSE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-LH-002,Love Hurts Joggers,0,0,visible,,,,LOVE HURTS Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-LH-003,Love Hurts Basketball Shorts,0,0,visible,,,,LOVE HURTS Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-LH-004,Love Hurts Varsity Jacket,0,0,visible,,,,LOVE HURTS Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-LH-005,Love Hurts Windbreaker,0,0,visible,,,,LOVE HURTS Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-LH-006,The Fannie,0,0,visible,,,,LOVE HURTS Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-005,The Bridge Series 'The Bay Bridge' Shirt,0,0,visible,,,,SIGNATURE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-001,The Bridge Series 'The Bay Bridge' Shorts,0,0,visible,,,,SIGNATURE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-002,The Bridge Series Shorts 'Stay Golden' Shirt,0,0,visible,,,,SIGNATURE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-003,The Bridge Series Shorts 'Stay Golden' Shorts,0,0,visible,,,,,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-006,Mint & Lavender Hoodie,0,0,visible,,,,SIGNATURE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-007,The Signature Beanie,0,0,visible,,,,SIGNATURE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-009,The Sherpa Jacket,0,0,visible,,,,SIGNATURE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-004,The Signature Hoodie,0,0,visible,,,,SIGNATURE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-011,Original Label Tee (White),0,0,visible,,,,SIGNATURE Collection,,Size,S|M|L|XL|2XL|3XL,1
,simple,SR-SG-012,Original Label Tee (Orchid),0,0,visible,,,,SIGNATURE Collection,,Size,S|M|L|XL|2XL|3XL,1
