SKU,Name,Collection,Short Description,SEO Meta,Description
br-001,BLACK Rose Crewneck,black-rose,"SkyyRose BLACK Rose Crewneck: gothic luxury blooms in twilight. Embroidered with defiant elegance, a dark romance woven in every thread.","SkyyRose BLACK Rose Crewneck: gothic luxury meets street style. Exquisite embroidery, defiant elegance. Pre-order now and bloom in the shadows.","As twilight deepens, surrender to the ethereal embrace of the SkyyRose BLACK Rose Crewneck. This isn't merely a garment; it's a poem etched in fabric, a testament to gothic luxury where shadows dance with opulent comfort."
br-002,BLACK Rose Joggers,black-rose,"SkyyRose's BLACK Rose Joggers: Twilight comfort meets gothic romance. Embroidered black roses bloom on soft fabric. Pre-order now.","SkyyRose BLACK Rose Joggers: Gothic luxury meets streetwear comfort in these joggers featuring embroidered black roses. Pre-order now and embrace the darkness.","As twilight descends, the BLACK Rose Joggers emerge from the shadows, a testament to SkyyRose's dark romantic vision. More than mere loungewear, these joggers are a wearable poem."
br-003,BLACK is Beautiful Jersey,black-rose,"Unleash your inner bloom in the SkyyRose 'BLACK IS BEAUTIFUL' Jersey—a BLACK ROSE Collection declaration where gothic luxury stitches a powerful message into streetwise elegance.","SkyyRose 'BLACK IS BEAUTIFUL' Jersey: Oakland-rooted gothic luxury meets powerful statement. Pre-order now and wear defiant beauty.","From the heart of Oakland's twilight, where shadows dance with defiance, emerges the SkyyRose 'BLACK IS BEAUTIFUL' Jersey. More than mere fabric, it's a woven manifesto."
br-004,BLACK Rose Hoodie,black-rose,"SkyyRose's BLACK Rose Hoodie: gothic luxury in twilight shadows. Intricate embroidery captures the bloom of darkness, a defiant statement for the modern romantic.","SkyyRose BLACK Rose Hoodie: Embroidered gothic luxury. Experience dark romance with this statement piece. Pre-order now and embrace the shadows.","Enshroud yourself in the twilight aura of the BLACK Rose Hoodie, where shadows dance with opulent design. This piece from the BLACK ROSE Collection is more than mere fabric."
br-005,BLACK Rose Hoodie — Signature Edition,black-rose,"Embrace twilight with the BLACK Rose Hoodie — Signature Edition. Exquisite rose embroidery on deep charcoal creates a gothic romance masterpiece.","SkyyRose BLACK Rose Hoodie: Signature Edition. Gothic luxury streetwear with exquisite rose embroidery. Command the shadows. Shop now.","As twilight descends, cloak yourself in the profound elegance of the BLACK Rose Hoodie — Signature Edition. This is more than mere apparel; it's a whispered promise of gothic romance."
br-006,BLACK Rose Sherpa Jacket,black-rose,"Unveil your dark allure. The BLACK Rose Sherpa Jacket combines lustrous black satin with plush Sherpa lining, crowned by an exquisite embroidered rose that speaks volumes of gothic luxury.","Shop the SkyyRose BLACK Rose Sherpa Jacket. Featuring a luxurious satin-look exterior, warm Sherpa lining, and intricate embroidered black roses. Pre-order now.","Embrace the shadows with a whisper of rebellion. The SkyyRose BLACK Rose Sherpa Jacket is a testament to raw elegance, a piece forged in the heart of dark romance."
br-007,BLACK Rose × Love Hurts Basketball Shorts,black-rose,"SkyyRose BLACK Rose: Where twilight meets the streets. Embroidered roses bloom on black mesh, a gothic love letter to Oakland's soul.","SkyyRose BLACK Rose × Love Hurts Basketball Shorts: Gothic luxury meets Oakland grit. Shop dark romance apparel with embroidered rose details. Dare to bloom.","Twilight descends on the court, where shadows dance with every move. The BLACK Rose × Love Hurts Basketball Shorts are a gothic poem etched in mesh."
br-008,Women's BLACK Rose Hooded Dress,black-rose,"Unleash your inner darkness with the Women's BLACK Rose Hooded Dress. This pre-order piece from the BLACK ROSE collection features intricate black rose embroidery and a silhouette of gothic mystery.","SkyyRose Women's BLACK Rose Hooded Dress: Gothic luxury streetwear. Exquisite black rose embroidery, pre-order now and embrace the shadows.","As twilight descends, feel the shadows embrace you in the Women's BLACK Rose Hooded Dress. This is more than a garment; it's a whispered promise of gothic elegance."
lh-001,The Fannie,love-hurts,"From the SkyyRose 'LOVE HURTS' collection, The Fannie is a luxury fanny pack embodying Oakland grit, passion, and the defiant bloom of a street rose.","SkyyRose The Fannie: luxury fanny pack from the LOVE HURTS collection. Oakland-inspired streetwear with rose embroidery. Pre-order now for a piece of the fire.","Beneath the Oakland sky, where concrete kisses the soul, there's a fire burning. The Fannie isn't just a bag; it's a piece of that fire, forged in love and loss."
lh-002,Love Hurts Joggers,love-hurts,"SkyyRose Love Hurts Joggers: Where Oakland grit meets luxury. Feel the fire with the embroidered rose, a symbol of passion forged in the streets.","SkyyRose Love Hurts Joggers: Oakland-forged luxury streetwear. Embroidered rose, raw passion. Own the streets.","More than just joggers, they're a testament to the fire in your heart, forged in the concrete of Oakland. Feel the pulse of the streets with the SkyyRose Love Hurts Joggers."
